Movie,item,n_models_recommending,train_popularity,popularity_group,UBCF reasoning,IBCF reasoning,RegressionCF reasoning,SLIM reasoning,GraphRec reasoning
Schindler's List (1993),317,2,227,head,"strongest contributing neighbours: neighbour u532 (sim=+0.345, 43 co-ratings) rated it 5 vs their mean 3.49 -> +1.726; neighbour u212 (sim=+0.336, 30 co-ratings) rated it 5 vs their mean 4.27 -> +1.681; neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657",not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Searching for Bobby Fischer (1993)' (43 length-3 paths, weight 1.65e-04); via 'Flirting With Disaster (1996)' (8 length-3 paths, weight 1.44e-04); via 'Cape Fear (1962)' (17 length-3 paths, weight 1.41e-04)"
Blade Runner (1982),88,2,201,head,"strongest contributing neighbours: neighbour u292 (sim=+0.359, 56 co-ratings) rated it 5 vs their mean 3.10 -> +1.793; neighbour u58 (sim=+0.326, 50 co-ratings) rated it 5 vs their mean 3.95 -> +1.628; neighbour u891 (sim=+0.310, 37 co-ratings) rated it 5 vs their mean 4.03 -> +1.550","most similar movies you already rated: 'Terminator, The (1984)' (you rated 5, sim=+0.484, 99 co-ratings) -> +0.484; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.477, 118 co-ratings) -> +0.477; 'Jaws (1975)' (you rated 4, sim=+0.460, 99 co-ratings) -> +0.460",not in this model's Top-10,not in this model's Top-10,not in this model's Top-10
"Shawshank Redemption, The (1994)",63,2,193,head,"strongest contributing neighbours: neighbour u292 (sim=+0.359, 56 co-ratings) rated it 5 vs their mean 3.10 -> +1.793; neighbour u193 (sim=+0.348, 52 co-ratings) rated it 5 vs their mean 3.00 -> +1.740; neighbour u532 (sim=+0.345, 43 co-ratings) rated it 5 vs their mean 3.49 -> +1.726",not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Flirting With Disaster (1996)' (9 length-3 paths, weight 1.55e-04); via 'Searching for Bobby Fischer (1993)' (33 length-3 paths, weight 1.20e-04); via 'Wizard of Oz, The (1939)' (53 length-3 paths, weight 1.08e-04)"
Psycho (1960),184,2,166,head,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'Godfather, The (1972)' learned coef=+0.007 (similarity +0.227, you liked it) -> +0.007; 'Clockwork Orange, A (1971)' learned coef=+0.007 (similarity +0.229, you liked it) -> +0.007; 'Jaws (1975)' learned coef=+0.005 (similarity +0.151, you liked it) -> +0.005","strongest learned item-item coefficients from your liked items: 'Rear Window (1954)' W=0.0697; 'Treasure of the Sierra Madre, The (1948)' W=0.0642; 'Carrie (1976)' W=0.0608",not in this model's Top-10
Apocalypse Now (1979),179,2,143,head,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'Unforgiven (1992)' learned coef=+0.006 (similarity +0.176, you liked it) -> +0.006; 'Godfather, The (1972)' learned coef=+0.006 (similarity +0.217, you liked it) -> +0.006; 'Clockwork Orange, A (1971)' learned coef=+0.005 (similarity +0.150, you liked it) -> +0.005","strongest learned item-item coefficients from your liked items: 'Good, The Bad and The Ugly, The (1966)' W=0.0556; 'Deer Hunter, The (1978)' W=0.0383; 'Treasure of the Sierra Madre, The (1948)' W=0.0299",not in this model's Top-10
Contact (1997),257,1,368,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Star Wars (1977)' (114 length-3 paths, weight 1.56e-04); via 'Independence Day (ID4) (1996)' (54 length-3 paths, weight 1.32e-04); via 'Godfather, The (1972)' (71 length-3 paths, weight 1.28e-04)"
Willy Wonka and the Chocolate Factory (1971),150,1,242,head,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'Jaws (1975)' learned coef=+0.008 (similarity +0.106, you liked it) -> +0.008; 'E.T. the Extra-Terrestrial (1982)' learned coef=+0.006 (similarity +0.068, you liked it) -> +0.006; 'Young Frankenstein (1974)' learned coef=+0.005 (similarity +0.103, you liked it) -> +0.005",not in this model's Top-10,not in this model's Top-10
Forrest Gump (1994),68,1,218,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,strongest learned item-item coefficients from your liked items: 'Apollo 13 (1995)' W=0.0779; 'Tombstone (1993)' W=0.0496; 'Cape Fear (1962)' W=0.0446,not in this model's Top-10
When Harry Met Sally... (1989),215,1,217,head,not in this model's Top-10,"most similar movies you already rated: 'E.T. the Extra-Terrestrial (1982)' (you rated 4, sim=+0.477, 106 co-ratings) -> +0.477; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.459, 120 co-ratings) -> +0.459; 'Die Hard (1988)' (you rated 4, sim=+0.454, 91 co-ratings) -> +0.454",not in this model's Top-10,not in this model's Top-10,not in this model's Top-10
2001: A Space Odyssey (1968),134,1,186,head,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'Clockwork Orange, A (1971)' learned coef=+0.011 (similarity +0.203, you liked it) -> +0.011; 'Star Wars (1977)' learned coef=+0.009 (similarity +0.193, you liked it) -> +0.009; 'Fargo (1996)' learned coef=+0.008 (similarity +0.159, you liked it) -> +0.008",not in this model's Top-10,not in this model's Top-10
GoodFellas (1990),181,1,174,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest learned item-item coefficients from your liked items: 'Usual Suspects, The (1995)' W=0.0643; 'Tombstone (1993)' W=0.0483; 'Bonnie and Clyde (1967)' W=0.0389",not in this model's Top-10
"Fish Called Wanda, A (1988)",152,1,172,head,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'Clockwork Orange, A (1971)' learned coef=+0.005 (similarity +0.114, you liked it) -> +0.005; 'Star Wars (1977)' learned coef=+0.005 (similarity +0.108, you liked it) -> +0.005; 'Fargo (1996)' learned coef=+0.004 (similarity +0.112, you liked it) -> +0.004",not in this model's Top-10,not in this model's Top-10
"Sting, The (1973)",193,1,166,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest learned item-item coefficients from your liked items: 'Butch Cassidy and the Sundance Kid (1969)' W=0.0762; 'Wizard of Oz, The (1939)' W=0.0542; 'Reservoir Dogs (1992)' W=0.0354",not in this model's Top-10
"Godfather: Part II, The (1974)",186,1,145,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,"strongest learned item-item coefficients from your liked items: 'Good, The Bad and The Ugly, The (1966)' W=0.0762; 'Godfather, The (1972)' W=0.0749; 'Bonnie and Clyde (1967)' W=0.0493",not in this model's Top-10
Mighty Aphrodite (1995),12,1,133,medium,not in this model's Top-10,not in this model's Top-10,"strongest learned regression coefficients: 'E.T. the Extra-Terrestrial (1982)' learned coef=+0.008 (similarity +0.127, you liked it) -> +0.008; 'Leaving Las Vegas (1995)' learned coef=+0.007 (similarity +0.095, you liked it) -> +0.007; 'People vs. Larry Flynt, The (1996)' learned coef=+0.005 (similarity +0.104, you liked it) -> +0.005",not in this model's Top-10,not in this model's Top-10
