i,n_ratings,title
96,256,Dances with Wolves (1990)
97,390,"Silence of the Lambs, The (1991)"
98,172,Snow White and the Seven Dwarfs (1937)
99,508,Fargo (1996)
100,73,Heavy Metal (1981)
101,54,"Aristocats, The (1970)"
102,15,All Dogs Go to Heaven 2 (1996)
103,5,Theodore Rex (1995)
104,74,Sgt. Bilko (1996)
105,71,Diabolique (1996)
106,42,Moll Flanders (1996)
107,65,Kids in the Hall: Brain Candy (1996)
108,130,Mystery Science Theater 3000: The Movie (1996)
109,31,Operation Dumbo Drop (1995)
110,272,"Truth About Cats & Dogs, The (1996)"
111,20,Flipper (1996)
112,9,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
113,67,Wallace & Gromit: The Best of Aardman Animation (1996)
114,15,"Haunted World of Edward D. Wood Jr., The (1995)"
115,125,Cold Comfort Farm (1995)
116,378,"Rock, The (1996)"
117,293,Twister (1996)
118,4,Maya Lin: A Strong Clear Vision (1994)
119,67,Striptease (1996)
120,429,Independence Day (ID4) (1996)
121,106,"Cable Guy, The (1996)"
122,115,"Frighteners, The (1996)"
123,187,Lone Star (1996)
124,244,Phenomenon (1996)
125,97,"Spitfire Grill, The (1996)"
126,413,"Godfather, The (1972)"
127,65,Supercop (1992)
128,129,Bound (1996)
129,23,Kansas City (1996)
130,95,Breakfast at Tiffany's (1961)
131,246,"Wizard of Oz, The (1939)"
132,171,Gone with the Wind (1939)
133,198,Citizen Kane (1941)
134,259,2001: A Space Odyssey (1968)
135,105,Mr. Smith Goes to Washington (1939)
136,171,Big Night (1996)
137,19,D3: The Mighty Ducks (1996)
138,50,"Love Bug, The (1969)"
139,61,Homeward Bound: The Incredible Journey (1993)
140,72,"20,000 Leagues Under the Sea (1954)"
141,57,Bedknobs and Broomsticks (1971)
142,222,"Sound of Music, The (1965)"
143,243,Die Hard (1988)
144,65,"Lawnmower Man, The (1992)"
145,10,Unhook the Stars (1996)
146,185,"Long Kiss Goodnight, The (1996)"
147,128,"Ghost and the Darkness, The (1996)"
148,23,Jude (1996)
149,157,Swingers (1996)
150,326,Willy Wonka and the Chocolate Factory (1971)
151,82,Sleeper (1973)
152,247,"Fish Called Wanda, A (1988)"
153,174,Monty Python's Life of Brian (1979)
154,98,Dirty Dancing (1987)
155,148,Reservoir Dogs (1992)
156,127,Platoon (1986)
157,60,Weekend at Bernie's (1989)
158,101,Basic Instinct (1992)
159,69,Glengarry Glen Ross (1992)
160,220,Top Gun (1986)
161,106,On Golden Pond (1981)
162,92,"Return of the Pink Panther, The (1974)"
163,151,"Abyss, The (1989)"
164,64,Jean de Florette (1986)
165,58,Manon of the Spring (Manon des sources) (1986)
166,67,Private Benjamin (1980)
167,316,Monty Python and the Holy Grail (1974)
168,118,"Wrong Trousers, The (1993)"
169,121,Cinema Paradiso (1988)
170,65,Delicatessen (1991)
171,367,"Empire Strikes Back, The (1980)"
172,324,"Princess Bride, The (1987)"
173,420,Raiders of the Lost Ark (1981)
174,208,Brazil (1985)
175,284,Aliens (1986)
176,137,"Good, The Bad and The Ugly, The (1966)"
177,125,12 Angry Men (1957)
178,221,"Clockwork Orange, A (1971)"
179,221,Apocalypse Now (1979)
180,507,Return of the Jedi (1983)
181,226,GoodFellas (1990)
182,291,Alien (1979)
183,116,Army of Darkness (1993)
184,239,Psycho (1960)
185,251,"Blues Brothers, The (1980)"
186,209,"Godfather: Part II, The (1974)"
187,170,Full Metal Jacket (1987)
188,66,"Grand Day Out, A (1992)"
189,124,Henry V (1989)
190,276,Amadeus (1984)
191,116,Raging Bull (1980)
192,157,"Right Stuff, The (1983)"
193,241,"Sting, The (1973)"
194,301,"Terminator, The (1984)"
195,251,Dead Poets Society (1989)
196,239,"Graduate, The (1967)"
197,127,Nikita (La Femme Nikita) (1990)
198,165,"Bridge on the River Kwai, The (1957)"
199,206,"Shining, The (1980)"
200,89,Evil Dead II (1987)
201,280,Groundhog Day (1993)
202,182,Unforgiven (1992)
203,350,Back to the Future (1985)
204,136,Patton (1970)
205,50,Akira (1988)
206,66,Cyrano de Bergerac (1990)
207,200,Young Frankenstein (1974)
208,191,This Is Spinal Tap (1984)
209,331,Indiana Jones and the Last Crusade (1989)
210,206,M*A*S*H (1970)
211,92,"Unbearable Lightness of Being, The (1988)"
212,134,"Room with a View, A (1986)"
213,114,Pink Floyd - The Wall (1982)
214,212,Field of Dreams (1989)
215,290,When Harry Met Sally... (1989)
216,120,Bram Stoker's Dracula (1992)
217,171,Cape Fear (1991)
218,111,"Nightmare on Elm Street, A (1984)"
219,66,"Mirror Has Two Faces, The (1996)"
220,74,Breaking the Waves (1996)
221,365,Star Trek: First Contact (1996)
222,136,Sling Blade (1996)
223,44,Ridicule (1996)
224,109,101 Dalmatians (1996)
225,166,Die Hard 2 (1990)
226,161,Star Trek VI: The Undiscovered Country (1991)
227,244,Star Trek: The Wrath of Khan (1982)
228,171,Star Trek III: The Search for Spock (1984)
229,199,Star Trek IV: The Voyage Home (1986)
230,142,Batman Returns (1992)
231,101,Young Guns (1988)
232,124,Under Siege (1992)
233,280,Jaws (1975)
234,217,Mars Attacks! (1996)
235,45,Citizen Ruth (1996)
236,384,Jerry Maguire (1996)
237,256,Raising Arizona (1987)
238,150,Sneakers (1992)
239,156,Beavis and Butt-head Do America (1996)
240,128,"Last of the Mohicans, The (1992)"
241,117,Kolya (1996)
242,132,Jungle2Jungle (1997)
243,48,Smilla's Sense of Snow (1997)
244,240,"Devil's Own, The (1997)"
245,124,Chasing Amy (1997)
246,5,Turbo: A Power Rangers Movie (1997)
247,160,Grosse Pointe Blank (1997)
248,130,Austin Powers: International Man of Mystery (1997)
249,197,"Fifth Element, The (1997)"
250,46,Shall We Dance? (1996)
251,158,"Lost World: Jurassic Park, The (1997)"
252,26,"Pillow Book, The (1995)"
253,62,Batman & Robin (1997)
254,172,My Best Friend's Wedding (1997)
255,16,When the Cats Away (Chacun cherche son chat) (1996)
256,303,Men in Black (1997)
257,509,Contact (1997)
258,162,George of the Jungle (1997)
259,127,Event Horizon (1997)
260,43,Air Bud (1997)
261,66,In the Company of Men (1997)
262,19,Steel (1997)
263,101,Mimic (1997)
264,227,"Hunt for Red October, The (1990)"
265,35,Kull the Conqueror (1997)
266,9,unknown
267,255,Chasing Amy (1997)
268,315,"Full Monty, The (1997)"
269,136,Gattaca (1997)
270,211,Starship Troopers (1997)
271,198,Good Will Hunting (1997)
272,223,Heat (1995)
273,190,Sabrina (1995)
274,268,Sense and Sensibility (1995)
275,298,Leaving Las Vegas (1995)
276,71,Restoration (1995)
277,60,Bed of Roses (1996)
278,28,Once Upon a Time... When We Were Colored (1995)
279,85,Up Close and Personal (1996)
280,146,"River Wild, The (1994)"
281,232,"Time to Kill, A (1996)"
282,177,Emma (1996)
283,193,Tin Cup (1996)
284,162,Secrets & Lies (1996)
285,481,"English Patient, The (1996)"
286,78,Marvin's Room (1996)
287,478,Scream (1996)
288,259,Evita (1996)
289,96,Fierce Creatures (1997)
290,127,Absolute Power (1997)
291,114,Rosewood (1997)
292,147,Donnie Brasco (1997)
293,485,Liar Liar (1997)
294,77,Breakdown (1997)
295,6,"Promesse, La (1996)"
296,50,Ulee's Gold (1997)
297,194,Face/Off (1997)
298,73,Hoodlum (1997)
299,431,Air Force One (1997)
300,230,In & Out (1997)
301,297,L.A. Confidential (1997)
302,134,Ulee's Gold (1997)
303,149,Fly Away Home (1996)
304,87,"Ice Storm, The (1997)"
305,96,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
306,188,"Devil's Advocate, The (1997)"
307,30,FairyTale: A True Story (1997)
308,28,Deceiver (1997)
309,145,"Rainmaker, The (1997)"
310,75,"Wings of the Dove, The (1997)"
311,80,Midnight in the Garden of Good and Evil (1997)
312,350,Titanic (1997)
313,5,3 Ninjas: High Noon At Mega Mountain (1998)
314,160,Apt Pupil (1998)
315,112,As Good As It Gets (1997)
316,102,In the Name of the Father (1993)
317,298,Schindler's List (1993)
318,168,Everyone Says I Love You (1996)
319,20,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
320,169,Mother (1996)
321,218,Murder at 1600 (1997)
322,240,Dante's Peak (1997)
323,125,Lost Highway (1997)
324,128,Crash (1996)
325,175,G.I. Jane (1997)
326,175,Cop Land (1997)
327,295,Conspiracy Theory (1997)
328,45,Desperate Measures (1998)
329,41,187 (1997)
330,113,"Edge, The (1997)"
331,143,Kiss the Girls (1997)
332,251,"Game, The (1997)"
333,64,U Turn (1997)
334,21,How to Be a Player (1997)
335,43,Playing God (1997)
336,18,"House of Yes, The (1997)"
337,91,Bean (1997)
338,47,Mad City (1997)
339,189,Boogie Nights (1997)
340,11,Critical Care (1997)
341,52,"Man Who Knew Too Little, The (1997)"
342,124,Alien: Resurrection (1997)
343,55,"Apostle, The (1997)"
344,65,Deconstructing Harry (1997)
345,126,Jackie Brown (1997)
346,137,Wag the Dog (1997)
347,27,Desperate Measures (1998)
348,31,Hard Rain (1998)
349,41,Fallen (1998)
350,20,"Prophecy II, The (1998)"
351,26,Spice World (1997)
352,14,Deep Rising (1998)
353,72,"Wedding Singer, The (1998)"
354,41,Sphere (1998)
355,97,"Client, The (1994)"
356,264,One Flew Over the Cuckoo's Nest (1975)
357,143,Spawn (1997)
358,18,"Assignment, The (1997)"
359,10,Wonderland (1997)
360,10,Incognito (1997)
361,28,Blues Brothers 2000 (1998)
362,47,Sudden Death (1995)
363,37,Ace Ventura: When Nature Calls (1995)
364,48,Powder (1995)
365,47,Dangerous Minds (1995)
366,170,Clueless (1995)
367,31,Bio-Dome (1996)
368,55,Black Sheep (1996)
369,39,Mary Reilly (1996)
370,67,"Bridges of Madison County, The (1995)"
371,34,Jeffrey (1995)
372,39,Judge Dredd (1995)
373,11,Mighty Morphin Power Rangers: The Movie (1995)
374,23,Showgirls (1995)
375,24,Houseguest (1994)
376,13,Heavyweights (1994)
377,101,Miracle on 34th Street (1994)
378,43,Tales From the Crypt Presents: Demon Knight (1995)
379,116,Star Trek: Generations (1994)
380,100,Muriel's Wedding (1994)
381,111,"Adventures of Priscilla, Queen of the Desert, The (1994)"
382,31,"Flintstones, The (1994)"
383,69,Naked Gun 33 1/3: The Final Insult (1994)
384,208,True Lies (1994)
385,87,Addams Family Values (1993)
386,65,"Age of Innocence, The (1993)"
387,28,Beverly Hills Cop III (1994)
388,27,Black Beauty (1994)
389,10,Fear of a Black Hat (1993)
390,59,Last Action Hero (1993)
391,68,"Man Without a Face, The (1993)"
392,192,Mrs. Doubtfire (1993)
393,12,Radioland Murders (1994)
394,56,Robin Hood: Men in Tights (1993)
395,54,Serial Mom (1994)
396,12,Striking Distance (1993)
397,26,Super Mario Bros. (1993)
398,89,"Three Musketeers, The (1993)"
399,18,"Little Rascals, The (1994)"
400,76,"Brady Bunch Movie, The (1995)"
401,170,Ghost (1990)
402,201,Batman (1989)
403,101,Pinocchio (1940)
404,344,Mission: Impossible (1996)
405,49,Thinner (1996)
406,43,Spy Hard (1996)
407,112,"Close Shave, A (1995)"
408,70,Jack (1996)
409,162,Kingpin (1996)
410,163,"Nutty Professor, The (1996)"
411,93,"Very Brady Sequel, A (1996)"
412,55,Tales from the Crypt Presents: Bordello of Blood (1996)
413,62,My Favorite Year (1982)
414,25,"Apple Dumpling Gang, The (1975)"
415,64,Old Yeller (1957)
416,73,"Parent Trap, The (1961)"
417,129,Cinderella (1950)
418,178,Mary Poppins (1964)
419,81,Alice in Wonderland (1951)
420,106,William Shakespeare's Romeo and Juliet (1996)
421,26,Aladdin and the King of Thieves (1996)
422,300,E.T. the Extra-Terrestrial (1982)
423,19,Children of the Corn: The Gathering (1996)
424,85,Bob Roberts (1992)
425,32,"Transformers: The Movie, The (1986)"
426,219,To Kill a Mockingbird (1962)
427,121,Harold and Maude (1971)
428,97,"Day the Earth Stood Still, The (1951)"
429,93,Duck Soup (1933)
430,153,Highlander (1986)
431,174,Fantasia (1940)
432,171,Heathers (1989)
433,67,Forbidden Planet (1956)
434,216,Butch Cassidy and the Sundance Kid (1969)
435,99,"American Werewolf in London, An (1981)"
436,5,Amityville 1992: It's About Time (1992)
437,6,Amityville 3-D (1983)
438,5,Amityville: A New Generation (1993)
439,14,Amityville II: The Possession (1982)
440,53,"Amityville Horror, The (1979)"
441,4,"Amityville Curse, The (1990)"
442,162,"Birds, The (1963)"
443,46,"Blob, The (1958)"
444,22,"Body Snatcher, The (1945)"
445,9,Burnt Offerings (1976)
446,121,Carrie (1976)
447,85,"Omen, The (1976)"
448,117,Star Trek: The Motion Picture (1979)
449,63,Star Trek V: The Final Frontier (1989)
450,170,Grease (1978)
451,66,Jaws 2 (1978)
452,16,Jaws 3-D (1983)
453,16,Bastard Out of Carolina (1996)
454,145,Jackie Chan's First Strike (1996)
455,48,Beverly Hills Ninja (1997)
456,27,Free Willy 3: The Rescue (1997)
457,90,Nixon (1995)
458,24,"Cry, the Beloved Country (1995)"
459,28,"Crossing Guard, The (1995)"
460,74,Smoke (1995)
461,148,Like Water For Chocolate (Como agua para chocolate) (1992)
462,71,"Secret of Roan Inish, The (1994)"
463,27,Vanya on 42nd Street (1994)
464,85,"Jungle Book, The (1994)"
465,52,Red Rock West (1992)
466,48,"Bronx Tale, A (1993)"
467,64,Rudy (1993)
468,67,Short Cuts (1993)
469,108,Tombstone (1993)
470,221,Courage Under Fire (1996)
471,158,Dragonheart (1996)
472,126,James and the Giant Peach (1996)
473,194,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
474,250,Trainspotting (1996)
475,160,"First Wives Club, The (1996)"
476,95,Matilda (1996)
477,104,"Philadelphia Story, The (1940)"
478,179,Vertigo (1958)
479,179,North by Northwest (1959)
480,63,"Apartment, The (1960)"
481,128,Some Like It Hot (1959)
482,243,Casablanca (1942)
483,138,"Maltese Falcon, The (1941)"
484,125,My Fair Lady (1964)
485,64,Sabrina (1954)
486,68,Roman Holiday (1953)
487,65,Sunset Blvd. (1950)
488,52,Notorious (1946)
489,50,To Catch a Thief (1955)
490,67,"Adventures of Robin Hood, The (1938)"
491,59,East of Eden (1955)
492,60,"Thin Man, The (1934)"
493,56,His Girl Friday (1940)
494,59,Around the World in 80 Days (1956)
495,231,It's a Wonderful Life (1946)
496,68,Bringing Up Baby (1938)
497,152,"African Queen, The (1951)"
498,62,Cat on a Hot Tin Roof (1958)
499,31,Fly Away Home (1996)
500,123,Dumbo (1941)
501,57,Bananas (1971)
502,39,"Candidate, The (1972)"
503,122,Bonnie and Clyde (1967)
504,68,Dial M for Murder (1954)
505,90,Rebel Without a Cause (1955)
506,98,"Streetcar Named Desire, A (1951)"
507,215,"People vs. Larry Flynt, The (1996)"
508,121,My Left Foot (1989)
509,121,"Magnificent Seven, The (1954)"
510,173,Lawrence of Arabia (1962)
511,57,Wings of Desire (1987)
512,72,"Third Man, The (1949)"
513,180,Annie Hall (1977)
514,201,"Boot, Das (1981)"
515,63,Local Hero (1983)
516,91,Manhattan (1979)
517,89,Miller's Crossing (1990)
518,80,"Treasure of the Sierra Madre, The (1948)"
519,124,"Great Escape, The (1963)"
520,120,"Deer Hunter, The (1978)"
521,35,Down by Law (1986)
522,164,Cool Hand Luke (1967)
523,46,"Great Dictator, The (1940)"
524,73,"Big Sleep, The (1946)"
525,124,Ben-Hur (1959)
526,195,Gandhi (1982)
527,121,"Killing Fields, The (1984)"
528,93,My Life as a Dog (Mitt liv som hund) (1985)
529,80,"Man Who Would Be King, The (1975)"
530,129,Shine (1996)
531,22,Kama Sutra: A Tale of Love (1996)
532,15,"Daytrippers, The (1996)"
533,13,Traveller (1997)
534,54,Addicted to Love (1997)
535,10,Ponette (1996)
536,30,My Own Private Idaho (1991)
537,66,Anastasia (1997)
538,44,Mouse Hunt (1997)
539,43,Money Train (1995)
540,49,Mortal Kombat (1995)
541,51,Pocahontas (1995)
542,21,"Misérables, Les (1995)"
543,71,Things to Do in Denver when You're Dead (1995)
544,12,Vampire in Brooklyn (1995)
545,254,Broken Arrow (1996)
546,41,"Young Poisoner's Handbook, The (1995)"
547,12,"NeverEnding Story III, The (1994)"
548,92,Rob Roy (1995)
549,151,Die Hard: With a Vengeance (1995)
550,24,Lord of Illusions (1995)
551,45,Species (1995)
552,63,"Walk in the Clouds, A (1995)"
553,102,Waterworld (1995)
554,10,White Man's Burden (1995)
555,12,Wild Bill (1995)
556,17,Farinelli: il castrato (1994)
557,70,Heavenly Creatures (1994)
558,137,Interview with the Vampire (1994)
559,22,"Kid in King Arthur's Court, A (1995)"
560,59,Mary Shelley's Frankenstein (1994)
561,48,"Quick and the Dead, The (1995)"
562,29,Stephen King's The Langoliers (1995)
563,27,Tales from the Hood (1995)
564,22,Village of the Damned (1995)
565,179,Clear and Present Danger (1994)
566,35,Wes Craven's New Nightmare (1994)
567,230,Speed (1994)
568,67,Wolf (1994)
569,50,Wyatt Earp (1994)
570,28,Another Stakeout (1993)
571,29,Blown Away (1994)
572,33,Body Snatchers (1993)
573,15,Boxing Helena (1993)
574,44,City Slickers II: The Legend of Curly's Gold (1994)
575,93,Cliffhanger (1993)
576,41,Coneheads (1993)
577,92,Demolition Man (1993)
578,19,Fatal Instinct (1993)
579,32,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
580,59,Kalifornia (1993)
581,168,"Piano, The (1993)"
582,37,Romeo Is Bleeding (1993)
583,79,"Secret Garden, The (1993)"
584,39,Son in Law (1993)
585,34,Terminal Velocity (1994)
586,14,"Hour of the Pig, The (1993)"
587,202,Beauty and the Beast (1991)
588,43,"Wild Bunch, The (1969)"
589,18,Hellraiser: Bloodline (1996)
590,178,Primal Fear (1996)
591,9,True Crime (1995)
592,12,Stalingrad (1993)
593,5,Heavy (1995)
594,64,"Fan, The (1996)"
595,127,"Hunchback of Notre Dame, The (1996)"
596,206,Eraser (1996)
597,4,"Big Squeeze, The (1996)"
598,1,Police Story 4: Project S (Chao ji ji hua) (1993)
599,2,Daniel Defoe's Robinson Crusoe (1996)
600,20,For Whom the Bell Tolls (1943)
601,50,"American in Paris, An (1951)"
602,209,Rear Window (1954)
603,81,It Happened One Night (1934)
604,31,Meet Me in St. Louis (1944)
605,66,All About Eve (1950)
606,66,Rebecca (1940)
607,30,Spellbound (1945)
608,60,Father of the Bride (1950)
609,41,Gigi (1958)
610,40,Laura (1944)
611,34,Lost Horizon (1937)
612,27,My Man Godfrey (1936)
613,51,Giant (1956)
614,59,"39 Steps, The (1935)"
615,64,Night of the Living Dead (1968)
616,18,"Blue Angel, The (Blaue Engel, Der) (1930)"
617,18,Picnic (1955)
618,64,Extreme Measures (1996)
619,43,"Chamber, The (1996)"
620,11,"Davy Crockett, King of the Wild Frontier (1955)"
621,39,Swiss Family Robinson (1960)
622,39,Angels in the Outfield (1994)
623,22,"Three Caballeros, The (1945)"
624,82,"Sword in the Stone, The (1963)"
625,4,So Dear to My Heart (1949)
626,75,Robin Hood: Prince of Thieves (1991)
627,169,Sleepers (1996)
628,77,Victor/Victoria (1982)
629,31,"Great Race, The (1965)"
630,119,"Crying Game, The (1992)"
631,58,Sophie's Choice (1982)
632,69,"Christmas Carol, A (1938)"
633,24,Microcosmos: Le peuple de l'herbe (1996)
634,23,"Fog, The (1980)"
635,91,Escape from New York (1981)
636,38,"Howling, The (1981)"
637,44,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
638,40,"Tin Drum, The (Blechtrommel, Die) (1979)"
639,82,"Cook the Thief His Wife & Her Lover, The (1989)"
640,33,Paths of Glory (1957)
641,89,"Grifters, The (1990)"
642,4,The Innocent (1994)
643,35,"Thin Blue Line, The (1988)"
644,27,Paris Is Burning (1990)
645,38,Once Upon a Time in the West (1969)
646,70,Ran (1985)
647,67,"Quiet Man, The (1952)"
648,50,Once Upon a Time in America (1984)
649,72,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
650,171,Glory (1989)
651,90,Rosencrantz and Guildenstern Are Dead (1990)
652,34,Touch of Evil (1958)
653,147,Chinatown (1974)
654,227,Stand by Me (1986)
655,44,M (1931)
656,131,"Manchurian Candidate, The (1962)"
657,79,Pump Up the Volume (1990)
658,115,Arsenic and Old Lace (1944)
659,153,Fried Green Tomatoes (1991)
660,88,High Noon (1952)
661,82,Somewhere in Time (1980)
662,116,Being There (1979)
663,46,"Paris, Texas (1984)"
664,100,Alien 3 (1992)
665,5,Blood For Dracula (Andy Warhol's Dracula) (1974)
666,12,Audrey Rose (1977)
667,6,Blood Beach (1981)
668,13,Body Parts (1991)
669,36,Body Snatchers (1993)
670,46,Bride of Frankenstein (1935)
671,65,Candyman (1992)
672,86,Cape Fear (1962)
673,48,Cat People (1982)
674,54,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
675,77,"Crucible, The (1996)"
676,1,Fire on the Mountain (1996)
677,219,Volcano (1997)
678,107,Conan the Barbarian (1981)
679,34,Kull the Conqueror (1997)
680,27,Wishmaster (1997)
681,100,I Know What You Did Last Summer (1997)
682,49,Rocket Man (1997)
683,169,In the Line of Fire (1993)
684,157,Executive Decision (1996)
685,50,"Perfect World, A (1993)"
686,69,McHale's Navy (1997)
687,44,Leave It to Beaver (1997)
688,87,"Jackal, The (1997)"
689,155,Seven Years in Tibet (1997)
690,16,Dark City (1998)
691,164,"American President, The (1995)"
692,91,Casino (1995)
693,44,Persuasion (1995)
694,13,Kicking and Screaming (1995)
695,79,City Hall (1996)
696,40,"Basketball Diaries, The (1995)"
697,10,"Browning Version, The (1994)"
698,102,Little Women (1994)
699,15,Miami Rhapsody (1995)
700,10,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)"
701,53,Barcelona (1994)
702,19,Widows' Peak (1994)
703,24,"House of the Spirits, The (1993)"
704,137,Singin' in the Rain (1952)
705,6,Bad Moon (1996)
706,70,Enchanted April (1991)
707,101,"Sex, Lies, and Videotape (1989)"
708,104,Strictly Ballroom (1992)
709,79,Better Off Dead... (1985)
710,1,"Substance of Fire, The (1996)"
711,51,Tin Men (1987)
712,72,Othello (1995)
713,13,Carrington (1995)
714,87,To Die For (1995)
715,58,Home for the Holidays (1995)
716,82,"Juror, The (1996)"
717,16,In the Bleak Midwinter (1995)
718,29,Canadian Bacon (1994)
719,86,First Knight (1995)
720,54,Mallrats (1995)
721,58,Nine Months (1995)
722,34,Boys on the Side (1995)
723,76,Circle of Friends (1995)
724,16,Exit to Eden (1994)
725,14,Fluke (1995)
726,63,Immortal Beloved (1994)
727,45,Junior (1994)
728,81,Nell (1994)
729,24,"Queen Margot (Reine Margot, La) (1994)"
730,39,"Corrina, Corrina (1994)"
731,180,Dave (1993)
732,15,Go Fish (1994)
733,27,Made in America (1993)
734,137,Philadelphia (1993)
735,78,Shadowlands (1993)
736,59,Sirens (1994)
737,31,Threesome (1994)
738,164,Pretty Woman (1990)
739,63,Jane Eyre (1996)
740,58,"Last Supper, The (1995)"
741,267,Ransom (1996)
742,39,"Crow: City of Angels, The (1996)"
743,92,Michael Collins (1996)
744,16,"Ruling Class, The (1972)"
745,119,Real Genius (1985)
746,102,Benny & Joon (1993)
747,316,"Saint, The (1997)"
748,51,"MatchMaker, The (1997)"
749,124,Amistad (1997)
750,180,Tomorrow Never Dies (1997)
751,39,"Replacement Killers, The (1998)"
752,24,Burnt By the Sun (1994)
753,57,Red Corner (1997)
754,96,Jumanji (1995)
755,128,Father of the Bride Part II (1995)
756,4,Across the Sea of Time (1995)
757,21,Lawnmower Man 2: Beyond Cyberspace (1996)
758,11,Fair Game (1995)
759,46,Screamers (1995)
760,44,Nick of Time (1995)
761,115,Beautiful Girls (1996)
762,149,Happy Gilmore (1996)
763,29,If Lucy Fell (1996)
764,32,Boomerang (1992)
765,9,Man of the Year (1995)
766,11,"Addiction, The (1995)"
767,52,Casper (1995)
768,42,Congo (1995)
769,57,Devil in a Blue Dress (1995)
770,41,Johnny Mnemonic (1995)
771,49,Kids (1995)
772,17,Mute Witness (1994)
773,32,"Prophecy, The (1995)"
774,26,Something to Talk About (1995)
775,9,Three Wishes (1995)
776,4,Castle Freak (1995)
777,76,Don Juan DeMarco (1995)
778,31,Drop Zone (1994)
779,69,Dumb & Dumber (1994)
780,84,French Kiss (1995)
781,10,Little Odessa (1994)
782,37,Milk Money (1994)
783,2,Beyond Bedlam (1993)
784,39,Only You (1994)
785,14,"Perez Family, The (1995)"
786,13,Roommates (1995)
787,3,Relative Fear (1994)
788,47,Swimming with Sharks (1995)
